City,Cluster
Agra,0
Ahmedabad,0
Aurangabad ,0
Bengaluru,2
Bhopal,0
Chandigarh ,0
Chennai,0
Coimbatore,0
Delhi,0
Dhanbad,0
Durg Bhilai,0
Faridabad,0
Ghaziabad ,0
Greater Mumbai,0
Gwalior  ,0
Hyderabad,0
Indore,0
Jabalpur,0
Jaipur,0
Jamshedpur,0
Jodhpur,0
Kalyan Dombivali,0
Kannur,0
Kanpur,0
Kochi ,0
Kollam ,0
Kota,0
Kozhikoda ,0
Lucknow ,0
Madurai,0
Malappuram,0
Meerut ,0
Nagpur,0
Patna,0
Pimprichichwad,0
Prayagraj,0
Pune,0
Raipur,0
Ranchi,0
Salem,0
Surat,0
Thane,0
Thiruvananthapuram,0
Thrissur,0
Total,1
Trichy,0
Vadodara,0
Varanasi ,0
Vasai,0
Vashi N.Mumbai,0
Vijayawada ,0
Visakhapatnam ,0
