Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,Cluster
6.77,1,1.0,2.42769,0,0,3.905,0,40.0,46,60,0,2
29.47,1,10.0,2.78245,1,0,3.45,0,38.0,56,78,1,1
54.95,2,10.0,3.03453,1,0,3.4025,4,51.0,49,102,1,1
29.72,4,10.0,2.83958,2,1,2.975,1,83.0,50,75,1,0
18.44,1,2.0,2.81871,1,0,3.5825,0,103.0,46,63,1,2
46.07,3,10.0,2.95887,2,1,2.49125,2,89.0,48,69,0,0
39.73,1,10.0,2.8487,2,1,3.12875,2,71.0,47,76,1,0
14.12,3,3.0,2.97795,1,6,4.93375,0,52.0,47,64,1,2
81.7,0,0.0,2.82307,1,3,2.7975,5,41.0,51,80,1,1
18.85,3,0.0,2.61439,2,0,4.14625,0,65.0,44,58,1,2
63.88,0,10.0,2.97894,1,1,3.405,0,102.0,53,79,1,0
4.78,2,5.0,2.47188,1,2,2.18,3,81.0,51,87,0,2
12.66,1,6.0,2.70811,1,0,3.12375,0,84.0,48,64,1,2
25.82,3,10.0,2.84043,1,3,2.8875,4,36.0,59,93,1,1
29.93,1,10.0,2.56887,0,0,4.145,0,73.0,48,72,1,2
13.44,2,6.0,2.68583,0,4,1.54375,0,73.0,47,62,1,2
51.98,3,0.0,3.11521,2,0,3.78375,0,60.0,46,61,1,0
49.05,2,2.0,3.00109,0,10,2.45625,1,36.0,47,71,1,2
19.69,0,0.0,2.60677,2,0,1.67375,1,39.0,48,65,1,2
92.91,1,10.0,3.11319,1,7,3.61125,2,58.0,68,101,0,1
19.57,3,10.0,2.72936,2,3,1.7525,1,102.0,52,71,0,2
22.13,1,7.0,2.54178,0,0,2.47625,1,75.0,48,65,1,2
61.95,1,10.0,3.17557,0,1,2.7825,0,32.0,54,78,1,0
62.6,1,7.0,3.29114,2,1,3.43625,1,98.0,51,94,1,0
9.05,3,2.0,2.78181,0,0,2.775,2,39.0,54,82,0,2
30.14,2,10.0,2.61967,2,0,1.14,0,93.0,54,91,0,1
14.51,1,10.0,2.7756,2,1,3.20375,0,76.0,49,65,0,2
9.53,3,1.0,2.7788,2,8,4.6925,0,50.0,47,59,0,2
73.76,1,6.0,2.89235,1,0,3.605,1,88.0,46,63,1,0
31.78,2,2.0,2.84128,0,0,4.405,2,68.0,51,66,1,2
44.55,2,6.0,3.25293,1,2,4.23375,0,100.0,52,80,0,0
41.11,0,10.0,3.11158,1,0,3.15375,3,76.0,50,78,1,0
51.03,1,10.0,2.58634,1,1,2.41875,0,47.0,63,89,1,1
61.53,2,7.0,3.07829,1,0,4.0275,1,72.0,47,75,1,0
30.35,1,10.0,2.60735,0,0,2.4875,1,41.0,50,65,0,2
15.92,0,8.0,2.66349,0,0,2.16875,0,58.0,51,71,1,2
37.71,1,0.0,2.78515,2,1,2.93,0,60.0,45,66,0,2
